term,E,P,A,Male_E,Male_P,Male_A,Female_E,Female_P,Female_A,Type
abandon,-3.31,-0.08,-0.11,-3.47,0.37,-0.22,-3.16,-0.48,-0.02,Behaviors
abduct,-3.81,1.98,1.35,-3.58,1.79,1.65,-3.99,2.11,1.14,Behaviors
abet,0.03,0.34,-0.18,-0.16,0.22,0.08,0.25,0.48,-0.49,Behaviors
abhor,-2.13,0.9,0.62,-2.75,0.76,-0.28,-1.88,0.95,0.98,Behaviors
abort,-1.85,1.33,-0.21,-2.18,0.72,-0.21,-1.64,1.72,-0.2,Behaviors
abuse,-3.85,0.61,1.51,-3.64,-0.54,1.73,-4.03,1.56,1.29,Behaviors
accept,2.67,2.4,-0.29,2.68,2.22,-0.29,2.67,2.52,-0.29,Behaviors
acclaim,1.53,1.27,1.07,2.23,1.53,1.02,0.85,1.02,1.13,Behaviors
accommodate,2.55,1.67,0.41,2.79,1.86,0.45,2.39,1.55,0.39,Behaviors
accost,-1.34,0.89,1.4,-1.23,0.97,1.77,-1.42,0.83,1.1,Behaviors
accuse,-1.73,1.08,1.4,-1.46,1.15,1.33,-2.02,1.02,1.46,Behaviors
acknowledge,2.65,1.97,0.42,2.44,1.77,0.8,2.81,2.14,0.11,Behaviors
address,1.4,1.31,0.43,1.16,1.06,0.42,1.58,1.5,0.44,Behaviors
admire,2.19,1.38,-0.31,2.18,1.42,-0.17,2.19,1.35,-0.42,Behaviors
admit,0.92,1.16,0.18,0.57,0.58,0.22,1.19,1.61,0.15,Behaviors
admonish,-0.38,0.58,0.53,-0.27,0.46,0.67,-0.48,0.69,0.41,Behaviors
adopt,3.12,2.88,0.15,2.83,2.71,-0.17,3.38,3.04,0.44,Behaviors
adore,2.56,1.54,0.11,2.45,1.22,-0.22,2.64,1.78,0.36,Behaviors
advise,2.57,2.28,0.28,2.37,2.08,0.19,2.72,2.44,0.34,Behaviors
aggravate,-2.33,0.52,1.91,-2.12,0.35,1.85,-2.52,0.61,1.96,Behaviors
agitate,-2.11,0.49,1.55,-2.18,0.46,1.76,-2.06,0.52,1.39,Behaviors
agree_with,1.77,1.18,0.13,1.79,1.48,0.14,1.75,0.94,0.12,Behaviors
aid,3.15,2.62,0.43,2.68,2.22,0.44,3.51,2.92,0.42,Behaviors
alarm,-0.36,1.43,2.22,0.01,1.44,2.35,-0.65,1.42,2.14,Behaviors
alert,2.2,2,2.02,1.9,1.83,1.76,2.43,2.13,2.21,Behaviors
alienate,-2.79,1.01,-0.63,-2.66,1.2,-0.28,-2.87,0.88,-0.87,Behaviors
allow,1.19,1.41,-0.04,1.29,1.5,-0.22,1.11,1.34,0.09,Behaviors
amaze,2.59,2.71,1.62,2.39,2.6,1.81,2.81,2.81,1.47,Behaviors
amuse,2.51,2.01,1.79,2.74,1.96,1.78,2.33,2.05,1.8,Behaviors
analyze,0.53,1.12,-0.64,0.51,1.08,-0.75,0.55,1.16,-0.55,Behaviors
anger,-2.22,0.96,1.65,-2.04,1.09,1.92,-2.39,0.84,1.39,Behaviors
annihilate,-2.92,2.17,1.91,-2.87,2.54,2.02,-2.96,1.87,1.82,Behaviors
annoy,-1.95,0.51,1.63,-1.84,0.58,1.5,-2.04,0.44,1.74,Behaviors
answer,1.84,1.16,0.36,2.07,1.31,0.37,1.64,1.03,0.35,Behaviors
antagonize,-2.8,0.77,1.55,-2.85,0.71,1.18,-2.77,0.83,1.84,Behaviors
apologize_to,2.7,2.35,-0.92,2.56,2.42,-0.61,2.81,2.3,-1.18,Behaviors
appeal_to,1.95,1.79,0.05,2.1,1.99,0.11,1.82,1.59,-0.04,Behaviors
appease,0.61,0.23,-0.36,0.38,0.03,-0.31,0.79,0.38,-0.4,Behaviors
applaud,2.97,2.4,2.5,2.83,2.18,2.36,3.08,2.57,2.61,Behaviors
appoint,1.7,2.32,0.31,1.44,2.21,0.28,1.88,2.39,0.32,Behaviors
appreciate,3.38,2.62,-0.16,3.12,2.22,-0.07,3.57,2.93,-0.23,Behaviors
apprehend,0.16,1.9,1.66,0.28,2,2.1,0.07,1.82,1.29,Behaviors
approach,1.51,1.44,0.6,1.56,1.41,0.8,1.46,1.46,0.44,Behaviors
approve_of,2.12,1.93,-0.24,2.41,2.09,-0.07,1.91,1.81,-0.36,Behaviors
